0,predicted,actual,se,mse
196,159.26858520507812,159.213,0.003089715023577896,
197,159.26580810546875,159.225,0.0016653014719490876,
198,159.26376342773438,159.258,3.321709924925025e-05,
199,159.2634735107422,159.257,4.190634132915219e-05,
200,159.26315307617188,159.248,0.00022961571747093533,
201,159.26239013671875,159.245,0.00030241685509665886,
202,159.2615203857422,159.233,0.0008134124028829386,
203,159.26010131835938,159.244,0.00025925245290995375,
204,159.25929260253906,159.276,0.00027913712991809033,0.0010548327876927124
205,159.2601318359375,159.293,0.001080316208839835,
206,159.26177978515625,159.281,0.00036941665864013507,
207,159.2627410888672,159.271,6.820961309947266e-05,
208,159.26315307617188,159.257,3.7860346376834346e-05,
209,159.26284790039062,159.269,3.784832960373917e-05,
210,159.26315307617188,159.259,1.7248041689511108e-05,
211,159.262939453125,159.24,0.000526218509673655,
212,159.2617950439453,159.239,0.0005196140284685311,
213,159.26065063476562,159.246,0.00021464109903546674,
214,159.25991821289062,159.258,3.679540693722409e-06,
215,159.25982666015625,159.252,6.125660920128178e-05,
216,159.25942993164062,159.237,0.0005031018334033451,0.0002866175682271275
217,159.25830078125,159.249,8.650453186044038e-05,
218,159.25784301757812,159.256,3.3967137932769022e-06,
219,159.25775146484375,159.27,0.00015002661347414287,
220,159.25836181640625,159.256,5.578176736830591e-06,
221,159.25823974609375,159.268,9.52625563144817e-05,
222,159.25872802734375,159.31,0.0026288151800634807,
223,159.26129150390625,159.308,0.002181683607339179,
224,159.2636260986328,159.325,0.003766755769027864,
225,159.26669311523438,159.322,0.0030588515024784243,
226,159.2694549560547,159.31,0.0016439005885275062,
227,159.271484375,159.288,0.0002727658691409855,
228,159.27230834960938,159.258,0.00020472886854382193,0.0011748558314417029
229,159.27159118652344,159.251,0.0004239969624427975,
230,159.27056884765625,159.244,0.0007059036657810332,
231,159.2692413330078,159.244,0.0006371248920112963,
232,159.26797485351562,159.253,0.00022424623781484862,
233,159.26722717285156,159.254,0.00017495810164535865,
234,159.26657104492188,159.257,9.160490089645347e-05,
235,159.26609802246094,159.249,0.00029234237207488654,
236,159.26524353027344,159.247,0.0003328263968373162,
237,159.2643280029297,159.252,0.00015197965623414813,
238,159.2637176513672,159.267,1.077381254729922e-05,
239,159.26388549804688,159.268,1.6929126322275052e-05,
240,159.26409912109375,159.28,0.00025283794999126236,0.0002762936728832479
241,159.264892578125,159.3,0.0012325310707100268,
242,159.2666473388672,159.31,0.0018794532272966688,
243,159.26881408691406,159.327,0.0033856004816440613,
244,159.271728515625,159.337,0.004260366672514444,
245,159.27499389648438,159.35,0.0056259155645958,
246,159.27874755859375,159.349,0.00493540552353712,
247,159.28225708007812,159.35,0.004589103199540799,
248,159.28564453125,159.334,0.0023382513580325346,
249,159.28805541992188,159.316,0.0007808995557428804,
250,159.28945922851562,159.308,0.0003437602072355433,
251,159.29039001464844,159.316,0.0006558713497073739,
252,159.2916717529297,159.323,0.0009814590644990138,0.002584051439588022
253,159.29324340820312,159.325,0.0010084811225526266,
254,159.29483032226562,159.331,0.0013082455874077366,
255,159.296630859375,159.345,0.0023395737648009155,
256,159.29904174804688,159.338,0.0015177453952426895,
257,159.30099487304688,159.334,0.0010893384051921084,
258,159.30264282226562,159.334,0.0009832725954653828,
259,159.30421447753906,159.301,1.0332865849216242e-05,
260,159.30404663085938,159.302,4.188697874576764e-06,
261,159.30393981933594,159.29,0.00019431856311879887,
262,159.30323791503906,159.275,0.000797379845752991,
263,159.30181884765625,159.277,0.0006159751989848007,
264,159.3005828857422,159.287,0.0001844947850851537,0.0008377789022772497
265,159.29989624023438,159.287,0.00016631301218255422,
266,159.29925537109375,159.276,0.0005408122847075366,
267,159.298095703125,159.296,4.391971588167168e-06,
268,159.29798889160156,159.291,4.884460581843534e-05,
269,159.29763793945312,159.289,7.46139979960734e-05,
270,159.29721069335938,159.288,8.483687216023367e-05,
271,159.2967529296875,159.275,0.00047318994998907156,
272,159.29566955566406,159.274,0.00046956964267786376,
273,159.29458618164062,159.273,0.0004659632378222227,
274,159.2935028076172,159.265,0.0008124100420631795,
275,159.29208374023438,159.305,0.0001668297663332794,
276,159.292724609375,159.306,0.00017623599624664576,0.0002903342816321053
277,159.29339599609375,159.289,1.9324781656377208e-05,
278,159.29318237304688,159.288,2.6856990396863352e-05,
279,159.2929229736328,159.288,2.4235669389259647e-05,
280,159.2926788330078,159.286,4.4606810346227545e-05,
281,159.29234313964844,159.287,2.8549141302639207e-05,
282,159.29208374023438,159.336,0.0019286378718029716,
283,159.29428100585938,159.354,0.0035663582611696054,
284,159.29727172851562,159.362,0.004189749129354277,
285,159.30050659179688,159.36,0.003539465619625284,
286,159.30348205566406,159.318,0.00021077070774172963,
287,159.30421447753906,159.297,5.204868616167996e-05,
288,159.30384826660156,159.26,0.001922670483962499,0.0012961061794091178
